segment_id,source_run,flight_name,icao24,split
step1_raw_2023-08-10_to_2023-09-10/20230903_738103_070622_083518,step1_raw_2023-08-10_to_2023-09-10,20230903_738103_070622_083518,738103,train
step1_raw_2023-08-10_to_2023-09-10/20230903_76cce7_095600_110521,step1_raw_2023-08-10_to_2023-09-10,20230903_76cce7_095600_110521,76cce7,test
step1_raw_2023-08-10_to_2023-09-10/20230903_89644c_105751_115858,step1_raw_2023-08-10_to_2023-09-10,20230903_89644c_105751_115858,89644c,train
step1_raw_2023-08-10_to_2023-09-10/20230903_896598_102320_113712,step1_raw_2023-08-10_to_2023-09-10,20230903_896598_102320_113712,896598,train
step1_raw_2023-08-10_to_2023-09-10/20230903_a7563a_065944_082257,step1_raw_2023-08-10_to_2023-09-10,20230903_a7563a_065944_082257,a7563a,train
step1_raw_2023-08-10_to_2023-09-10/20230906_4bb0ea_092535_103456,step1_raw_2023-08-10_to_2023-09-10,20230906_4bb0ea_092535_103456,4bb0ea,train
step1_raw_2023-08-10_to_2023-09-10/20230906_896453_095218_110535,step1_raw_2023-08-10_to_2023-09-10,20230906_896453_095218_110535,896453,train
step1_raw_2023-08-10_to_2023-09-10/20230907_06a0e6_085727_100654,step1_raw_2023-08-10_to_2023-09-10,20230907_06a0e6_085727_100654,06a0e6,train
step1_raw_2023-08-10_to_2023-09-10/20230907_7380c8_064903_080232,step1_raw_2023-08-10_to_2023-09-10,20230907_7380c8_064903_080232,7380c8,train
step1_raw_2023-08-10_to_2023-09-10/20230907_76cce3_092529_104841,step1_raw_2023-08-10_to_2023-09-10,20230907_76cce3_092529_104841,76cce3,test
step1_raw_2023-08-10_to_2023-09-10/20230907_89659b_103849_120201,step1_raw_2023-08-10_to_2023-09-10,20230907_89659b_103849_120201,89659b,train
step1_raw_2023-08-10_to_2023-09-10/20230908_06a0f4_083213_095525,step1_raw_2023-08-10_to_2023-09-10,20230908_06a0f4_083213_095525,06a0f4,test
step1_raw_2023-10-01_to_2023-11-01/20231001_3c4b29_023128_034048,step1_raw_2023-10-01_to_2023-11-01,20231001_3c4b29_023128_034048,3c4b29,test
step1_raw_2023-10-01_to_2023-11-01/20231001_4007ed_031420_045447,step1_raw_2023-10-01_to_2023-11-01,20231001_4007ed_031420_045447,4007ed,train
step1_raw_2023-10-01_to_2023-11-01/20231001_4bb46e_012638_025451,step1_raw_2023-10-01_to_2023-11-01,20231001_4bb46e_012638_025451,4bb46e,train
step1_raw_2023-10-01_to_2023-11-01/20231001_4d0117_004918_015838,step1_raw_2023-10-01_to_2023-11-01,20231001_4d0117_004918_015838,4d0117,train
step1_raw_2023-10-01_to_2023-11-01/20231001_a748bc_040541_051203,step1_raw_2023-10-01_to_2023-11-01,20231001_a748bc_040541_051203,a748bc,train
step1_raw_2023-10-01_to_2023-11-01/20231001_c01a61_005121_023937,step1_raw_2023-10-01_to_2023-11-01,20231001_c01a61_005121_023937,c01a61,train
step1_raw_2023-10-01_to_2023-11-01/20231002_06a10d_055918_070929,step1_raw_2023-10-01_to_2023-11-01,20231002_06a10d_055918_070929,06a10d,train
step1_raw_2023-10-01_to_2023-11-01/20231002_39cf11_051323_062438,step1_raw_2023-10-01_to_2023-11-01,20231002_39cf11_051323_062438,39cf11,train
step1_raw_2023-10-01_to_2023-11-01/20231002_3c6571_020328_031248,step1_raw_2023-10-01_to_2023-11-01,20231002_3c6571_020328_031248,3c6571,train
step1_raw_2023-10-01_to_2023-11-01/20231002_4078dd_023640_034938,step1_raw_2023-10-01_to_2023-11-01,20231002_4078dd_023640_034938,4078dd,val
step1_raw_2023-10-01_to_2023-11-01/20231002_40797a_024254_035214,step1_raw_2023-10-01_to_2023-11-01,20231002_40797a_024254_035214,40797a,train
step1_raw_2023-10-01_to_2023-11-01/20231002_407f19_040849_051809,step1_raw_2023-10-01_to_2023-11-01,20231002_407f19_040849_051809,407f19,train
step1_raw_2023-10-01_to_2023-11-01/20231002_4bb193_063429_074128,step1_raw_2023-10-01_to_2023-11-01,20231002_4bb193_063429_074128,4bb193,train
step1_raw_2023-10-01_to_2023-11-01/20231002_76cce4_062322_073059,step1_raw_2023-10-01_to_2023-11-01,20231002_76cce4_062322_073059,76cce4,test
step1_raw_2023-10-01_to_2023-11-01/20231002_a05626_014613_030925,step1_raw_2023-10-01_to_2023-11-01,20231002_a05626_014613_030925,a05626,test
step1_raw_2023-10-01_to_2023-11-01/20231002_a0a54a_040013_050633,step1_raw_2023-10-01_to_2023-11-01,20231002_a0a54a_040013_050633,a0a54a,train
step1_raw_2023-10-01_to_2023-11-01/20231002_a11ba0_014218_025138,step1_raw_2023-10-01_to_2023-11-01,20231002_a11ba0_014218_025138,a11ba0,train
step1_raw_2023-10-01_to_2023-11-01/20231003_4078dd_024208_034547,step1_raw_2023-10-01_to_2023-11-01,20231003_4078dd_024208_034547,4078dd,val
step1_raw_2023-10-01_to_2023-11-01/20231003_407af1_040442_051144,step1_raw_2023-10-01_to_2023-11-01,20231003_407af1_040442_051144,407af1,test
step1_raw_2023-10-01_to_2023-11-01/20231003_407af2_060629_070847,step1_raw_2023-10-01_to_2023-11-01,20231003_407af2_060629_070847,407af2,train
step1_raw_2023-10-01_to_2023-11-01/20231003_407f19_040855_051530,step1_raw_2023-10-01_to_2023-11-01,20231003_407f19_040855_051530,407f19,train
step1_raw_2023-10-01_to_2023-11-01/20231003_407f2d_052956_064055,step1_raw_2023-10-01_to_2023-11-01,20231003_407f2d_052956_064055,407f2d,train
step1_raw_2023-10-01_to_2023-11-01/20231003_7380c1_035320_052243,step1_raw_2023-10-01_to_2023-11-01,20231003_7380c1_035320_052243,7380c1,val
step1_raw_2023-10-01_to_2023-11-01/20231003_7380c3_033308_045308,step1_raw_2023-10-01_to_2023-11-01,20231003_7380c3_033308_045308,7380c3,train
step1_raw_2023-10-01_to_2023-11-01/20231003_a05669_031923_045528,step1_raw_2023-10-01_to_2023-11-01,20231003_a05669_031923_045528,a05669,train
step1_raw_2023-10-01_to_2023-11-01/20231003_ab7613_035223_045647,step1_raw_2023-10-01_to_2023-11-01,20231003_ab7613_035223_045647,ab7613,val
step1_raw_2023-10-01_to_2023-11-01/20231003_ac3448_045831_060649,step1_raw_2023-10-01_to_2023-11-01,20231003_ac3448_045831_060649,ac3448,test
step1_raw_2023-10-01_to_2023-11-01/20231004_39cf06_020742_031428,step1_raw_2023-10-01_to_2023-11-01,20231004_39cf06_020742_031428,39cf06,train
step1_raw_2023-10-01_to_2023-11-01/20231004_39cf0b_025754_040716,step1_raw_2023-10-01_to_2023-11-01,20231004_39cf0b_025754_040716,39cf0b,train
step1_raw_2023-10-01_to_2023-11-01/20231004_40745e_025539_040718,step1_raw_2023-10-01_to_2023-11-01,20231004_40745e_025539_040718,40745e,train
step1_raw_2023-10-01_to_2023-11-01/20231004_40797c_054513_064514,step1_raw_2023-10-01_to_2023-11-01,20231004_40797c_054513_064514,40797c,train
step1_raw_2023-10-01_to_2023-11-01/20231004_4aca65_013348_023749,step1_raw_2023-10-01_to_2023-11-01,20231004_4aca65_013348_023749,4aca65,train
step1_raw_2023-10-01_to_2023-11-01/20231004_a07dc9_033042_044002,step1_raw_2023-10-01_to_2023-11-01,20231004_a07dc9_033042_044002,a07dc9,train
step1_raw_2023-10-01_to_2023-11-01/20231004_a0f428_041918_051955,step1_raw_2023-10-01_to_2023-11-01,20231004_a0f428_041918_051955,a0f428,test
step1_raw_2023-10-01_to_2023-11-01/20231004_ab7268_035613_053359,step1_raw_2023-10-01_to_2023-11-01,20231004_ab7268_035613_053359,ab7268,train
step1_raw_2023-10-01_to_2023-11-01/20231004_ac142e_040139_054051,step1_raw_2023-10-01_to_2023-11-01,20231004_ac142e_040139_054051,ac142e,test
step1_raw_2023-10-01_to_2023-11-01/20231005_39cf08_020918_031838,step1_raw_2023-10-01_to_2023-11-01,20231005_39cf08_020918_031838,39cf08,train
step1_raw_2023-10-01_to_2023-11-01/20231005_4aca61_015748_030408,step1_raw_2023-10-01_to_2023-11-01,20231005_4aca61_015748_030408,4aca61,val
step1_raw_2023-10-01_to_2023-11-01/20231005_a0a54a_035255_051919,step1_raw_2023-10-01_to_2023-11-01,20231005_a0a54a_035255_051919,a0a54a,train
step1_raw_2023-10-01_to_2023-11-01/20231005_ab7613_042950_060441,step1_raw_2023-10-01_to_2023-11-01,20231005_ab7613_042950_060441,ab7613,val
step1_raw_2023-10-01_to_2023-11-01/20231005_ac3448_031925_045629,step1_raw_2023-10-01_to_2023-11-01,20231005_ac3448_031925_045629,ac3448,test
step1_raw_2023-10-01_to_2023-11-01/20231006_34604e_003529_014241,step1_raw_2023-10-01_to_2023-11-01,20231006_34604e_003529_014241,34604e,train
step1_raw_2023-10-01_to_2023-11-01/20231006_4067f5_032440_044236,step1_raw_2023-10-01_to_2023-11-01,20231006_4067f5_032440_044236,4067f5,train
step1_raw_2023-10-01_to_2023-11-01/20231006_40797a_031646_042606,step1_raw_2023-10-01_to_2023-11-01,20231006_40797a_031646_042606,40797a,train
step1_raw_2023-10-01_to_2023-11-01/20231006_407af3_064916_075444,step1_raw_2023-10-01_to_2023-11-01,20231006_407af3_064916_075444,407af3,val
step1_raw_2023-10-01_to_2023-11-01/20231006_484f73_023359_034222,step1_raw_2023-10-01_to_2023-11-01,20231006_484f73_023359_034222,484f73,val
step1_raw_2023-10-01_to_2023-11-01/20231006_7380c6_045823_055902,step1_raw_2023-10-01_to_2023-11-01,20231006_7380c6_045823_055902,7380c6,train
step1_raw_2023-10-01_to_2023-11-01/20231006_a0a522_042827_054523,step1_raw_2023-10-01_to_2023-11-01,20231006_a0a522_042827_054523,a0a522,train
step1_raw_2023-10-01_to_2023-11-01/20231007_4005ba_022648_043226,step1_raw_2023-10-01_to_2023-11-01,20231007_4005ba_022648_043226,4005ba,val
step1_raw_2023-10-01_to_2023-11-01/20231007_4078de_053357_063556,step1_raw_2023-10-01_to_2023-11-01,20231007_4078de_053357_063556,4078de,val
step1_raw_2023-10-01_to_2023-11-01/20231007_40797a_030042_041017,step1_raw_2023-10-01_to_2023-11-01,20231007_40797a_030042_041017,40797a,train
step1_raw_2023-10-01_to_2023-11-01/20231007_a07dc9_011653_022613,step1_raw_2023-10-01_to_2023-11-01,20231007_a07dc9_011653_022613,a07dc9,train
step1_raw_2023-10-01_to_2023-11-01/20231007_a07dcd_021908_032536,step1_raw_2023-10-01_to_2023-11-01,20231007_a07dcd_021908_032536,a07dcd,test
step1_raw_2023-10-01_to_2023-11-01/20231007_a0f428_022616_033535,step1_raw_2023-10-01_to_2023-11-01,20231007_a0f428_022616_033535,a0f428,test
step1_raw_2023-10-01_to_2023-11-01/20231007_a11bc8_035648_053351,step1_raw_2023-10-01_to_2023-11-01,20231007_a11bc8_035648_053351,a11bc8,test
step1_raw_2023-10-01_to_2023-11-01/20231008_40621b_025036_035436,step1_raw_2023-10-01_to_2023-11-01,20231008_40621b_025036_035436,40621b,train
step1_raw_2023-10-01_to_2023-11-01/20231008_40749b_051935_062855,step1_raw_2023-10-01_to_2023-11-01,20231008_40749b_051935_062855,40749b,train
step1_raw_2023-10-01_to_2023-11-01/20231008_4074e4_053422_064457,step1_raw_2023-10-01_to_2023-11-01,20231008_4074e4_053422_064457,4074e4,val
step1_raw_2023-10-01_to_2023-11-01/20231008_40779a_023310_034231,step1_raw_2023-10-01_to_2023-11-01,20231008_40779a_023310_034231,40779a,test
step1_raw_2023-10-01_to_2023-11-01/20231008_407f2d_054011_064024,step1_raw_2023-10-01_to_2023-11-01,20231008_407f2d_054011_064024,407f2d,train
step1_raw_2023-10-01_to_2023-11-01/20231008_7380c8_042117_054437,step1_raw_2023-10-01_to_2023-11-01,20231008_7380c8_042117_054437,7380c8,train
step1_raw_2023-10-01_to_2023-11-01/20231008_738103_044610_055530,step1_raw_2023-10-01_to_2023-11-01,20231008_738103_044610_055530,738103,train
step1_raw_2023-10-01_to_2023-11-01/20231008_a0a54a_032633_051729,step1_raw_2023-10-01_to_2023-11-01,20231008_a0a54a_032633_051729,a0a54a,train
step1_raw_2023-10-01_to_2023-11-01/20231008_ab7268_070202_080607,step1_raw_2023-10-01_to_2023-11-01,20231008_ab7268_070202_080607,ab7268,train
step1_raw_2023-10-01_to_2023-11-01/20231009_400684_015259_031612,step1_raw_2023-10-01_to_2023-11-01,20231009_400684_015259_031612,400684,train
step1_raw_2023-10-01_to_2023-11-01/20231009_7380c1_042034_054112,step1_raw_2023-10-01_to_2023-11-01,20231009_7380c1_042034_054112,7380c1,val
step1_raw_2023-10-01_to_2023-11-01/20231009_a05646_040604_051523,step1_raw_2023-10-01_to_2023-11-01,20231009_a05646_040604_051523,a05646,train
step1_raw_2023-10-01_to_2023-11-01/20231009_a11bc8_032934_050937,step1_raw_2023-10-01_to_2023-11-01,20231009_a11bc8_032934_050937,a11bc8,test
step1_raw_2023-10-01_to_2023-11-01/20231010_400684_020145_030828,step1_raw_2023-10-01_to_2023-11-01,20231010_400684_020145_030828,400684,train
step1_raw_2023-10-01_to_2023-11-01/20231010_a11ba0_042849_054537,step1_raw_2023-10-01_to_2023-11-01,20231010_a11ba0_042849_054537,a11ba0,train
step1_raw_2023-10-01_to_2023-11-01/20231011_347388_005129_024226,step1_raw_2023-10-01_to_2023-11-01,20231011_347388_005129_024226,347388,train
step1_raw_2023-10-01_to_2023-11-01/20231011_4006c2_035728_053434,step1_raw_2023-10-01_to_2023-11-01,20231011_4006c2_035728_053434,4006c2,train
step1_raw_2023-10-01_to_2023-11-01/20231011_4078de_030649_041626,step1_raw_2023-10-01_to_2023-11-01,20231011_4078de_030649_041626,4078de,val
step1_raw_2023-10-01_to_2023-11-01/20231011_407af2_050551_061511,step1_raw_2023-10-01_to_2023-11-01,20231011_407af2_050551_061511,407af2,train
step1_raw_2023-10-01_to_2023-11-01/20231011_407f2b_023157_033226,step1_raw_2023-10-01_to_2023-11-01,20231011_407f2b_023157_033226,407f2b,train
step1_raw_2023-10-01_to_2023-11-01/20231011_a0f427_041753_051756,step1_raw_2023-10-01_to_2023-11-01,20231011_a0f427_041753_051756,a0f427,train
step1_raw_2023-10-01_to_2023-11-01/20231011_ab6ea5_034455_053846,step1_raw_2023-10-01_to_2023-11-01,20231011_ab6ea5_034455_053846,ab6ea5,train
step1_raw_2023-10-01_to_2023-11-01/20231011_c01734_031314_042357,step1_raw_2023-10-01_to_2023-11-01,20231011_c01734_031314_042357,c01734,train
step1_raw_2023-10-01_to_2023-11-01/20231012_347343_002327_014640,step1_raw_2023-10-01_to_2023-11-01,20231012_347343_002327_014640,347343,val
step1_raw_2023-10-01_to_2023-11-01/20231012_39cf0e_031137_042059,step1_raw_2023-10-01_to_2023-11-01,20231012_39cf0e_031137_042059,39cf0e,train
step1_raw_2023-10-01_to_2023-11-01/20231012_3c4b28_031711_042250,step1_raw_2023-10-01_to_2023-11-01,20231012_3c4b28_031711_042250,3c4b28,train
step1_raw_2023-10-01_to_2023-11-01/20231012_406f77_050006_060926,step1_raw_2023-10-01_to_2023-11-01,20231012_406f77_050006_060926,406f77,train
step1_raw_2023-10-01_to_2023-11-01/20231012_40779a_060852_071812,step1_raw_2023-10-01_to_2023-11-01,20231012_40779a_060852_071812,40779a,test
step1_raw_2023-10-01_to_2023-11-01/20231012_407af2_023720_035419,step1_raw_2023-10-01_to_2023-11-01,20231012_407af2_023720_035419,407af2,train
step1_raw_2023-10-01_to_2023-11-01/20231012_407f2b_032425_042843,step1_raw_2023-10-01_to_2023-11-01,20231012_407f2b_032425_042843,407f2b,train
step1_raw_2023-10-01_to_2023-11-01/20231012_4aca64_020236_030811,step1_raw_2023-10-01_to_2023-11-01,20231012_4aca64_020236_030811,4aca64,train
step1_raw_2023-10-01_to_2023-11-01/20231012_a0a545_033403_050805,step1_raw_2023-10-01_to_2023-11-01,20231012_a0a545_033403_050805,a0a545,train
step1_raw_2023-10-01_to_2023-11-01/20231012_a11ba0_043532_062109,step1_raw_2023-10-01_to_2023-11-01,20231012_a11ba0_043532_062109,a11ba0,train
step1_raw_2023-10-01_to_2023-11-01/20231012_ac17e6_025603_042835,step1_raw_2023-10-01_to_2023-11-01,20231012_ac17e6_025603_042835,ac17e6,train
step1_raw_2023-10-01_to_2023-11-01/20231014_a0a54a_045725_061510,step1_raw_2023-10-01_to_2023-11-01,20231014_a0a54a_045725_061510,a0a54a,train
step1_raw_2023-10-01_to_2023-11-01/20231015_39cf02_004307_020026,step1_raw_2023-10-01_to_2023-11-01,20231015_39cf02_004307_020026,39cf02,train
step1_raw_2023-10-01_to_2023-11-01/20231015_39cf13_024443_040756,step1_raw_2023-10-01_to_2023-11-01,20231015_39cf13_024443_040756,39cf13,train
step1_raw_2023-10-01_to_2023-11-01/20231015_3c4b30_015618_030538,step1_raw_2023-10-01_to_2023-11-01,20231015_3c4b30_015618_030538,3c4b30,train
step1_raw_2023-10-01_to_2023-11-01/20231015_4007ed_042711_053632,step1_raw_2023-10-01_to_2023-11-01,20231015_4007ed_042711_053632,4007ed,train
step1_raw_2023-10-01_to_2023-11-01/20231015_406b05_031421_042043,step1_raw_2023-10-01_to_2023-11-01,20231015_406b05_031421_042043,406b05,test
step1_raw_2023-10-01_to_2023-11-01/20231015_40749b_053412_064249,step1_raw_2023-10-01_to_2023-11-01,20231015_40749b_053412_064249,40749b,train
step1_raw_2023-10-01_to_2023-11-01/20231015_407f2c_023119_034445,step1_raw_2023-10-01_to_2023-11-01,20231015_407f2c_023119_034445,407f2c,train
step1_raw_2023-10-01_to_2023-11-01/20231015_4d0111_010308_021228,step1_raw_2023-10-01_to_2023-11-01,20231015_4d0111_010308_021228,4d0111,train
step1_raw_2023-10-01_to_2023-11-01/20231015_a11bc8_011803_023833,step1_raw_2023-10-01_to_2023-11-01,20231015_a11bc8_011803_023833,a11bc8,test
step1_raw_2023-10-01_to_2023-11-01/20231015_a74ecc_031033_041709,step1_raw_2023-10-01_to_2023-11-01,20231015_a74ecc_031033_041709,a74ecc,train
step1_raw_2023-10-01_to_2023-11-01/20231015_ab839d_033309_045933,step1_raw_2023-10-01_to_2023-11-01,20231015_ab839d_033309_045933,ab839d,train
step1_raw_2023-10-01_to_2023-11-01/20231015_ac291f_024053_035013,step1_raw_2023-10-01_to_2023-11-01,20231015_ac291f_024053_035013,ac291f,train
step1_raw_2023-10-01_to_2023-11-01/20231016_4006c3_014336_034747,step1_raw_2023-10-01_to_2023-11-01,20231016_4006c3_014336_034747,4006c3,train
step1_raw_2023-10-01_to_2023-11-01/20231016_4007ed_034454_052159,step1_raw_2023-10-01_to_2023-11-01,20231016_4007ed_034454_052159,4007ed,train
step1_raw_2023-10-01_to_2023-11-01/20231016_406b21_031211_041439,step1_raw_2023-10-01_to_2023-11-01,20231016_406b21_031211_041439,406b21,train
